order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,total_items,order_value,product_id,category,product_name,brand,margin_percentage,customer_name,area,customer_segment,total_orders,avg_order_value,registration_date,delivery_time_minutes,distance_km,reasons_if_delayed,rating,sentiment,feedback_category,delivery_delay_flag,customer_lifetime_value,purchase_frequency,rating_category,order_month,order_week,order_hour,is_new_customer
1961864118,30065862,2024-07-17 08:34:01,2024-07-17 08:52:01,2024-07-17 08:47:01,on time,3197.07,Cash,63230,4771,3,1551.09,642612,Pet Care,Pet Treats,Pillay-Ahuja,35,Urishilla Hegde,Allahabad,Regular,13,749.95,2024-09-02,-5,0.96,,4,neutral,Delivery,0,9749.35,13,High,2024-07,2024-07-15/2024-07-21,8,0
1549769649,9573071,2024-05-28 13:14:29,2024-05-28 13:25:29,2024-05-28 13:27:29,on time,976.55,Cash,14983,7534,1,881.42,378676,Cold Drinks & Juices,Orange Juice,Baral-Kamdar,30,Ranveer Mahal,Thrissur,New,5,958.06,2023-11-07,2,0.98,Traffic,3,negative,App Experience,0,4790.299999999999,5,Medium,2024-05,2024-05-27/2024-06-02,13,0
9185164487,45477575,2024-09-23 13:07:12,2024-09-23 13:25:12,2024-09-23 13:29:12,on time,839.05,UPI,39859,9886,2,1847.68,741341,Dairy & Breakfast,Eggs,Prasad LLC,20,Aarna Bawa,Vellore,Inactive,4,327.93,2024-01-05,4,3.83,Traffic,3,neutral,App Experience,0,1311.72,4,Medium,2024-09,2024-09-23/2024-09-29,13,0
9644738826,88067569,2023-11-24 16:16:56,2023-11-24 16:34:56,2023-11-24 16:33:56,on time,440.23,Card,61497,7917,1,874.78,561860,Cold Drinks & Juices,Orange Juice,Gupta Ltd,30,Aayush Sengupta,Gaya,Premium,5,273.38,2023-12-25,-1,2.76,,4,neutral,App Experience,0,1366.9,5,High,2023-11,2023-11-20/2023-11-26,16,0
5427684290,83298567,2023-11-20 05:00:39,2023-11-20 05:17:39,2023-11-20 05:18:39,on time,2526.68,Cash,84315,2741,2,1953.1,602241,Snacks & Munchies,Nuts,Bahl-Pau,35,Vansha Kuruvilla,Asansol,Premium,14,763.1,2024-10-02,1,2.63,Traffic,3,negative,Delivery,0,10683.4,14,Medium,2023-11,2023-11-20/2023-11-26,5,0
3265154092,43367112,2023-03-18 16:29:51,2023-03-18 16:49:51,2023-03-18 16:48:51,on time,3161.43,UPI,554,3442,1,321.28,681063,Cold Drinks & Juices,Mango Drink,Dass and Sons,30,Chasmum Ramesh,Gopalpur,New,19,1861.66,2023-12-14,-1,1.94,,2,negative,Customer Service,0,35371.54,19,Low,2023-03,2023-03-13/2023-03-19,16,0
4898355547,13284996,2023-04-16 18:50:37,2023-04-16 19:01:37,2023-04-16 19:02:37,on time,956.4,Card,14630,1318,3,1553.31,56589,Pharmacy,Vitamins,"Pai, Kashyap and Ramachandran",20,Irya Dayal,Phagwara,Regular,9,449.79,2024-04-11,1,2.2,Traffic,4,positive,Product Quality,0,4048.11,9,High,2023-04,2023-04-10/2023-04-16,18,0
6568151549,88866835,2024-03-31 06:26:48,2024-03-31 06:37:48,2024-03-31 06:39:48,on time,905.47,Cash,67714,115,2,719.96,500739,Dairy & Breakfast,Bread,Aggarwal Group,20,Osha Dora,South Dumdum,Premium,6,506.63,2023-11-01,2,1.3,Traffic,2,negative,App Experience,0,3039.7799999999997,6,Low,2024-03,2024-03-25/2024-03-31,6,0
6006693867,24496983,2023-07-13 23:49:36,2023-07-14 00:02:36,2023-07-14 00:05:36,on time,1371.17,Card,91362,9021,1,80.25,490939,Personal Care,Lotion,"Roy, Barad and De",35,Vasana Sen,Kamarhati,Regular,17,1262.44,2023-12-04,3,3.38,Traffic,3,negative,Delivery,0,21461.48,17,Medium,2023-07,2023-07-10/2023-07-16,23,0
374186990,52215833,2023-08-09 01:17:30,2023-08-09 01:37:30,2023-08-09 01:44:30,slightly delayed,1601.19,Wallet,77203,7955,2,1126.9,760828,Pet Care,Pet Treats,"Khurana, Khosla and Yohannan",35,Lipika Parmer,Sirsa,Regular,5,305.65,2024-09-27,7,1.47,Traffic,3,neutral,App Experience,0,1528.25,5,Medium,2023-08,2023-08-07/2023-08-13,1,0
4455336265,43431724,2023-08-30 19:37:06,2023-08-30 19:47:06,2023-08-30 19:45:06,on time,2362.33,UPI,64046,3784,3,1270.68,753354,Personal Care,Shampoo,Sant-Mahajan,35,Jack Kalita,Rohtak,New,2,813.0,2023-11-26,-2,0.76,,2,negative,Delivery,0,1626.0,2,Low,2023-08,2023-08-28/2023-09-03,19,0
3539286337,77559557,2023-04-25 20:32:24,2023-04-25 20:44:24,2023-04-25 20:39:24,on time,1463.8,Wallet,94899,2463,1,727.95,684939,Personal Care,Lotion,"Sibal, Bhatnagar and Rajan",35,Akshay Varty,Madurai,New,9,601.15,2023-08-28,-5,3.68,,3,neutral,Delivery,0,5410.349999999999,9,Medium,2023-04,2023-04-24/2023-04-30,20,0
